,osmid,y,x,street_count,lon,lat,highway,ref,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
5864,260743749,51.0127874,13.7961196,3,13.7961196,51.0127874,,,POINT (13.7961196 51.0127874),6.0,1.0,None,None
5865,2243381707,51.0132524,13.7942466,1,13.7942466,51.0132524,,,POINT (13.7942466 51.0132524),6.0,1.0,None,None
5866,598148925,51.0140786,13.7940297,1,13.7940297,51.0140786,,,POINT (13.7940297 51.0140786),6.0,1.0,None,None
5867,2243373036,51.0129462,13.7955746,3,13.7955746,51.0129462,,,POINT (13.7955746 51.0129462),6.0,1.0,None,None
5868,1860646186,51.0518414,13.7746176,1,13.7746176,51.0518414,,,POINT (13.7746176 51.0518414),5.0,3.0,None,None
5869,2993991319,51.0762075,13.7289278,1,13.7289278,51.0762075,,,POINT (13.7289278 51.0762075),4.0,4.0,0,1
5870,262185374,51.0647237,13.7402221,4,13.7402221,51.0647237,,,POINT (13.7402221 51.0647237),4.0,4.0,1,0
5871,3840988371,51.0649233,13.7401202,3,13.7401202,51.0649233,,,POINT (13.7401202 51.0649233),4.0,4.0,1,0
5872,262872864,51.1248128,13.7746957,3,13.7746957,51.1248128,,,POINT (13.7746957 51.1248128),5.0,7.0,None,None
5873,2092614823,51.1247369,13.7756033,1,13.7756033,51.1247369,,,POINT (13.7756033 51.1247369),5.0,7.0,None,None
5874,263139748,51.0423623,13.7309579,1,13.7309579,51.0423623,,,POINT (13.7309579 51.0423623),4.0,3.0,0,0
5875,264402854,51.0207375,13.7590898,1,13.7590898,51.0207375,,,POINT (13.7590898 51.0207375),5.0,2.0,None,None
5876,278322657,51.021064,13.7615452,3,13.7615452,51.021064,,,POINT (13.7615452 51.021064),5.0,2.0,None,None
5877,264581436,51.0415292,13.8356381,1,13.8356381,51.0415292,,,POINT (13.8356381 51.0415292),7.0,3.0,None,None
5878,1751227385,51.0377676,13.8340314,1,13.8340314,51.0377676,,,POINT (13.8340314 51.0377676),7.0,3.0,None,None
5879,2822869899,51.0240581,13.7614844,3,13.7614844,51.0240581,,,POINT (13.7614844 51.0240581),5.0,2.0,None,None
5880,266010796,51.0282858,13.7600136,2,13.7600136,51.0282858,,,POINT (13.7600136 51.0282858),5.0,2.0,None,None
5881,266010947,51.0283545,13.7608722,1,13.7608722,51.0283545,,,POINT (13.7608722 51.0283545),5.0,2.0,None,None
5882,266172536,51.0084458,13.6886286,1,13.6886286,51.0084458,,,POINT (13.6886286 51.0084458),3.0,1.0,None,None
5883,266992742,51.010875,13.7684705,3,13.7684705,51.010875,,,POINT (13.7684705 51.010875),5.0,1.0,None,None
5884,2049551463,51.0096252,13.7667131,3,13.7667131,51.0096252,,,POINT (13.7667131 51.0096252),5.0,1.0,None,None
5885,266992773,51.0121553,13.768907,3,13.768907,51.0121553,,,POINT (13.768907 51.0121553),5.0,1.0,None,None
5886,266992804,51.0121286,13.7683454,1,13.7683454,51.0121286,,,POINT (13.7683454 51.0121286),5.0,1.0,None,None
5887,267022910,51.0094714,13.7725783,3,13.7725783,51.0094714,,,POINT (13.7725783 51.0094714),5.0,1.0,None,None
5888,1667033444,51.0098722,13.7693873,3,13.7693873,51.0098722,,,POINT (13.7693873 51.0098722),5.0,1.0,None,None
5889,2642739051,51.008102,13.772122,1,13.772122,51.008102,,,POINT (13.772122 51.008102),5.0,1.0,None,None
5890,267092488,51.0170787,13.7048887,1,13.7048887,51.0170787,turning_circle,,POINT (13.7048887 51.0170787),3.0,2.0,None,None
5891,267428762,51.0510547,13.6940311,1,13.6940311,51.0510547,,,POINT (13.6940311 51.0510547),3.0,3.0,0,1
5892,267579825,51.0177905,13.9135234,3,13.9135234,51.0177905,,,POINT (13.9135234 51.0177905),9.0,2.0,None,None
5893,269442641,51.0179708,13.9152476,1,13.9152476,51.0179708,,,POINT (13.9152476 51.0179708),9.0,2.0,None,None
5894,5503725745,51.0130289,13.8686275,1,13.8686275,51.0130289,,,POINT (13.8686275 51.0130289),8.0,1.0,None,None
5895,267765118,51.0045985,13.896924,3,13.896924,51.0045985,,,POINT (13.896924 51.0045985),9.0,1.0,None,None
5896,1412619331,51.0038738,13.896199,3,13.896199,51.0038738,,,POINT (13.896199 51.0038738),9.0,1.0,None,None
5897,276289592,51.0056819,13.897948,3,13.897948,51.0056819,,,POINT (13.897948 51.0056819),9.0,1.0,None,None
