From,To,Volume,EstimatedTT
317611131,25935156,1353.36,0.03
317611131,317611132,219.19,0.08
779052658,773669977,921.4,0.01
779052658,773669974,14.78,0.03
440369967,440369970,1516.84,0.04
262185367,3137721924,0.0,0.18
262185367,262185372,1552.05,0.03
262185376,26165869,318.46,0.05
262185376,262185367,470.82,0.02
26165886,26291274,673.05,0.03
26165886,15618026,2192.94,0.25
26291274,3861801989,1841.8,0.14
26291274,26165880,333.44,0.14
3025700050,25272081,0.0,0.15
26910090,12262630,258.58,0.01
26910090,839866856,0.0,0.03
839866856,10941037,0.1,0.45
656211460,3688082991,388.4,0.01
6207267154,6207267170,537.91,0.04
3907572085,3907447115,2256.34,0.32
258315627,258315633,8.86,0.09
6207267153,6207267162,742.12,0.02
2414808767,25950253,553.71,0.1
2414808767,440337754,5066.82,0.57
27254447,442838541,457.39,0.01
442838541,27254446,886.08,0.17
335688683,442838541,428.7,0.02
27598012,151083532,0.0,0.02
3907571845,4533984370,1649.93,0.21
27279384,25433992,940.04,0.08
277060338,257756770,23.65,0.04
27410733,27252028,0.0,0.05
292884983,292884981,186.74,0.05
3879014012,33325660,240.21,0.05
257756769,277060367,560.54,0.05
27413455,668019917,0.0,0.23
909453442,3516471210,0.0,0.04
151083532,442828559,0.0,0.03
442832879,151083532,884.08,0.03
28238725,2986258962,461.92,0.04
28238725,3899207524,676.96,0.12
2986258962,3137621725,1430.15,0.98
28796744,206127721,1254.99,0.07
30151418,28796761,1626.63,0.3
206127721,2274921120,438.81,1.8
206127721,30151417,1052.38,0.03
28796761,18627247,1018.44,1.27
28796761,28796744,857.25,0.33
29348250,534625,985.7,0.02
29348250,8083440,1518.02,0.77
252007120,30436907,892.79,0.06
252007120,295686008,0.0,0.05
29401767,2259858942,0.0,0.02
29510418,95789943,1931.17,0.04
29510418,95789730,501.22,0.05
95789943,277692998,1931.17,0.5
95789730,95789943,0.0,0.05
7117637080,2849823382,1866.73,0.55
29812911,2453232140,515.89,0.83
3912609301,3912609299,851.2,1.08
2453232140,2453232134,261.08,0.04
2453232140,25621145,254.81,0.03
30056676,18630516,0.0,0.23
30056676,2071676,1438.3,0.15
30056684,30058362,1401.29,0.02
30056684,30058364,808.11,0.28
30058362,30058361,1861.34,0.02
30058362,7117637008,645.13,0.04
30058364,30058362,1105.19,0.22
30058361,30058360,773.86,0.02
30058361,244038915,1590.34,0.27
7117637008,30058361,502.85,0.03
7128283652,3855350,257.12,0.04
3020440809,444059536,943.74,0.31
30332565,3612398319,646.19,0.03
3612398319,2610458800,789.37,0.55
30404993,30409387,1032.59,0.37
30409387,534796,2101.92,0.06
30405010,2970538973,977.66,1.46
2970538973,1458120323,1902.74,0.28
30409397,30409387,1069.33,0.03
30409397,30409405,1062.48,0.37
30409419,30409417,1616.41,0.02
30409419,30436919,1359.59,0.86
30409424,30409419,2018.41,0.04
30409424,30404993,1032.59,0.73
30436907,29348250,895.68,0.02
30436907,295686008,1446.14,0.07
295686008,534316143,1446.14,0.24
1619208224,18627204,1009.12,0.95
31350685,31350684,1.25,0.11
10712397266,10712397264,1191.07,0.1
30788689,18178969,1023.29,0.18
1942977739,497259722,82.63,0.03
74069309,2072807,743.18,0.18
31350684,31350685,2.75,0.1
31271217,21566429,844.1,0.7
31272925,246859505,159.5,0.04
3148489413,21552187,281.7,0.65
3148489413,3148489417,861.4,0.05
317611132,440337754,1315.74,0.26
3879014011,33325660,995.93,0.03
2453232137,2246314929,393.29,0.19
31353295,31353296,238.93,0.04
31353296,81580487,263.93,0.06
9976058363,9976058359,513.55,0.05
296239234,6697990,0.0,0.03
33325660,1514362559,1073.09,1.48
1514362559,25621848,1071.71,0.06
1514362559,3979445014,1.38,0.05
244038931,534778,1710.05,0.02
244038931,244038933,517.26,0.09
1758438692,150577963,0.0,1.23
773684938,15614141,994.65,1.24
159733475,2072802,826.28,2.31
159733475,206133365,84.81,0.01
81580494,31353295,639.06,0.06
81580688,3193824078,0.0,0.04
250923558,32547462,735.75,3.1
84465051,84465051,0.0,0.09
3193824080,81580688,472.17,0.04
85748936,11305234,820.27,0.03
85807521,3498130773,0.0,0.57
1054691691,1363071255,0.0,0.05
3121844724,560450644,241.82,0.05
3121844724,10919230,0.0,0.05
159729140,99089590,768.39,0.02
159729140,95145069,928.78,1.03
1670657170,60577293,57.04,0.04
1670657170,159733475,822.36,0.07
10712397264,10712397266,1272.58,0.12
159725096,74069309,793.01,0.18
159725096,2072807,545.31,0.02
290077166,290077168,501.22,0.03
99089590,95145062,126.65,0.02
99089590,344625887,768.39,0.03
344625887,11007218,1464.7,0.32
1211691752,3074985402,92.4,0.12
133281288,316299769,221.61,0.04
140603409,140605768,0.0,0.07
140603409,534736,1630.84,0.12
534324288,534324289,672.21,0.06
534324288,3121547154,1368.6,0.08
141678998,78454176,3363.36,2.24
442828559,27254448,1308.94,0.05
206133365,159729140,853.21,0.59
248219543,248219560,612.45,0.03
271246517,271246516,0.0,0.03
221995898,248219540,675.33,0.38
221995898,248219546,857.41,0.47
248219540,248219546,297.64,0.29
248219546,839864966,1155.05,0.88
244038942,244038931,1262.36,0.02
244038942,536652,1580.26,1.28
247994363,534742,936.7,0.03
247994363,247994358,1043.76,0.13
248219482,21597987,1428.42,2.28
1657949311,248219560,0.0,0.05
248219560,248219582,612.45,0.28
839864966,839865307,1155.05,0.05
839864966,12262886,0.0,0.02
248219582,1626653378,1072.01,0.59
1626653378,248219482,1072.01,0.57
797425334,1458180457,493.97,0.04
255886139,1458120226,751.08,0.34
1458120226,1458180620,2166.99,1.03
262185372,262185374,609.3,0.02
262185372,3840988371,2552.41,0.18
262185374,262185376,0.0,0.01
262185374,16574244,990.37,0.22
3840988371,262185374,381.07,0.03
392656728,3516121147,220.89,0.04
271246516,271246517,0.0,0.07
288154283,29510428,1838.83,0.08
288154283,24953550,213.83,0.1
1632149375,21647047,827.83,0.04
1632149375,1632149360,1760.52,0.03
2526224456,3930292765,643.17,0.03
2526224456,25599928,731.56,0.05
280221394,24969686,360.29,0.06
280221394,24969591,750.33,0.04
288154914,247994363,990.37,0.22
288155029,288154914,776.54,0.04
288155029,288154942,27.91,0.04
290077155,290077168,522.54,0.03
290077155,290077166,0.0,0.03
290077168,30788689,1023.29,0.21
3912609284,3324432576,817.22,0.08
292890400,3411658,2415.03,0.45
534316143,29348250,1608.04,0.28
2626739932,6697990,0.0,0.04
297497348,297497356,2.04,0.07
297497348,2970916284,943.38,0.09
2970916284,2970916275,375.18,0.09
3147881709,2262248294,80.15,0.15
3147881709,21596461,1188.19,0.13
309517759,2233985754,793.86,0.1
309517759,2986258962,656.49,0.07
7091784429,3147881709,127.98,0.14
7091784429,2262248294,1102.55,0.02
311941598,1632149367,2298.25,0.41
1632149367,1632149375,1035.96,0.03
1632149367,141678998,1278.98,0.54
316507156,316507154,761.55,0.28
752186307,3884698667,87.97,0.04
440337754,440337822,5797.53,0.83
346633166,2482228323,1122.1,0.02
346633166,2482228310,94.61,0.15
2482228323,10919218,122.36,0.02
2482228323,25755497,1122.1,0.46
2482228310,2482228323,122.36,0.14
346633485,346633166,1216.71,0.11
357917181,3506480443,0.0,0.07
357917181,534769,1826.46,0.08
3506480443,534769,737.78,0.05
380950155,11769656,1245.71,0.64
433065573,2970751883,1308.67,0.28
433065573,30405010,430.42,0.03
2970751883,433065575,537.26,0.03
2970751883,3160483032,771.41,0.25
2970916275,2970916280,422.1,0.04
433065575,255886139,537.26,0.03
433065575,30405010,547.23,0.26
440337822,25621090,970.99,1.04
440337822,2453207682,3748.32,0.32
2453207682,25272057,0.0,0.1
2453207682,828163535,2771.31,0.68
440348653,21271513,2733.17,0.66
440369970,773669974,595.44,0.06
440369970,779052658,921.4,0.05
773669974,440348653,610.22,0.36
444059536,3998373587,160.24,0.09
444059536,25622934,783.5,0.15
461740603,198189803,0.0,0.04
