from,to,volume,EstimatedTT,length,CO2,lengthm
4906760574,10032129071,0,2.02182,33.697,0,0.020938339
5479993983,5480002191,0,158.064,2634.4,0,1.636939762
5479993983,5479993982,0,1.96488,32.748,0,0.020348658
5479993982,5479993981,0,1.61484,26.914,0,0.016723579
5479993982,4923102857,0,1.49748,24.958,0,0.015508177
5480002191,5480002190,0,1.3533,22.555,0,0.014015023
5480002190,10034204580,0,36.26346,604.391,0,0.37555104
5480002190,5480002192,0,1.9797,32.995,0,0.020502136
10034204580,611075254,0,98.98812,1649.802,0,1.025139119
10034204580,10034225114,0,23.72247006,636.292,0,0.395373396
5480002192,5480002193,0,1.30128,21.688,0,0.013476294
5480002193,5479993982,0,157.9332,2632.22,0,1.635585174
5480002193,5480002191,0,2.04264,34.044,0,0.021153954
5590306825,1490606872,0,2.3634,39.39,0,0.024475804
9256584602,1490606889,29.64723939,82.6534812,1377.558,8246.506492,0.855974592
10027856945,1490606958,46.47039251,113.1212499,1885.354,17690.7035,1.1715043
10032129053,4906760573,0,1.96386,32.731,0,0.020338094
11076695789,611075254,0,25.21002,420.167,0,0.261079589
11076695789,10033992962,0,2.07077436,55.543,0,0.034512809
10034225114,10034225115,0,1.29174,21.529,0,0.013377496
10034225108,10034225019,0,36.90504,615.084,0,0.38219536
10034225108,10034225114,0,1.91601528,51.392,0,0.031933498
10034225115,611075227,0,21.03216,350.536,0,0.217812905
10034225115,10034225107,0,1.95307392,52.386,0,0.032551141
10925220941,3536528802,0,28.22262,470.377,0,0.292278627
27017780,671489383,29.64649943,9.678480141,161.308,965.6176133,0.100232113
27017780,3124134017,0.000739964,2.8302,47.17,0.007047775,0.02931007
671489383,10031802588,106.6981591,225.2405886,3754.008,80877.55246,2.332631705
3124134017,3447404551,0.000739964,18.19632,303.272,0.045312548,0.188444426
27017820,2294134599,115.1325399,4.289414192,71.49,1661.955649,0.044421813
27017820,2294134584,0,1.93614,32.269,0,0.020051021
2294134599,2294134749,115.1325399,164.0655028,2734.416,63568.02514,1.699086804
27017837,2020213050,115.1325399,80.8809876,1348.012,31337.75574,0.837615564
27017837,2020212861,0,37.0698,617.83,0,0.383901645
2020213050,1119142454,115.1325399,18.32400063,305.399,7099.728538,0.189766082
2020212861,2299661976,0,1.9497,32.495,0,0.020191451
2020212861,2020212859,0,0.77586,12.931,0,0.008034948
27017854,2299663022,151.4563197,130.8072361,2180.099,66671.47367,1.354650296
2299663022,2020428739,151.4563197,2.095100759,34.918,1067.857248,0.021697033
2299663022,2299663016,0,1.2306,20.51,0,0.012744319
27017861,2299663395,151.4563197,132.2060899,2203.413,67384.45907,1.369136939
27017861,2299663306,0,2.0463,34.105,0,0.021191858
2299663395,5100363842,151.4563197,15.61953476,260.323,7961.160498,0.161757163
2299663306,2299663297,441.7266249,1.422419025,23.69,2113.183238,0.014720279
179379551,2020163662,59.1918748,10.43286241,173.881,2078.213155,0.108044611
179379551,1490607366,47.5059704,3.581280343,59.688,572.546913,0.037088392
2020163662,10027569253,119.7021623,3.446233323,57.437,1388.256847,0.035689686
1490607366,10027569715,120.2091069,237.7549548,3962.567,96181.1739,2.462224219
671489358,1654014826,46.45898582,11.68572103,194.762,1827.047368,0.121019459
671489358,3447404551,285.684459,38.78310395,646.304,37282.64913,0.401594563
1654014826,10027856725,46.47031298,174.8710354,2914.517,27347.52616,1.810996343
3447404551,671489386,285.685199,6.902725708,115.031,6635.687728,0.071476928
671489380,671489383,77.05165972,6.609064387,110.151,1713.74552,0.068444637
671489380,3124134017,0,6.0966,101.61,0,0.063137507
10031802588,10031802580,106.6981591,0.334440816,5.574,120.088076,0.003463522
671489386,3447457754,285.685199,1.767161629,29.449,1698.797436,0.018298755
3447457754,3124134176,19.5552639,72.2763002,1204.605,4756.463776,0.748506613
671489389,1654014826,0.011327158,40.9104,681.84,1.559478073,0.423675603
671489389,671489380,276.4447217,13.33586643,222.24,12405.46123,0.138093491
671489489,1693459023,238.1071266,29.73401958,495.537,23824.72674,0.307912321
1693459023,1693458870,238.1071266,46.79695227,779.902,37496.59871,0.484608486
1693459023,1693458928,0,14.48298,241.383,0,0.149988396
741512636,1729042235,0,34.96404,582.734,0,0.362094008
741512636,741512675,441.7266249,63.55835337,1058.547,94423.96696,0.657750408
1729042235,741512675,0,28.67232,477.872,0,0.296935803
741512675,2299662583,441.7266249,106.375928,1771.662,158034.8857,1.100859389
2299662583,2291888167,441.7266249,33.88417819,564.711,50368.4211,0.350895039
741512757,2299662394,198.6895229,6.838040666,113.964,4572.147633,0.070813925
741512757,2299662359,247.63867,12.80898701,213.468,10674.10086,0.132642825
2299662394,2299662359,0,9.69408,161.568,0,0.10039367
2299662359,2299662291,247.63867,54.10400137,1209.244,59874.80478,0.751389154
741512860,2294134494,0,31.74696,529.116,0,0.328777338
2294134494,2294134525,247.63867,14.814149,246.885,12345.06058,0.153407179
741998591,8261510001,196.5097297,1.643266141,27.387,1086.690922,0.017017488
8261510001,10027569251,196.5097297,125.6909292,2094.79,83119.3368,1.301641757
8261510001,8261510008,0,0.96579966,25.905,0,0.016096616
741998617,2020163662,60.5102875,19.14714384,513.569,6312.119511,0.319116883
741998617,671489489,196.4437224,8.663042921,144.38,5726.941003,0.089713545
741998889,8897566220,177.7006462,279.9066355,4665.023,167386.2434,2.898710007
8897566220,8963748069,177.7006462,8.428238248,140.468,5040.148963,0.087282742
742001112,742001144,10.32629957,17.93586,298.931,623.2919617,0.185747054
742001144,10861828307,10.32629957,1.53168,25.528,53.22765855,0.015862359
10861828307,10861828308,0,1.60974,26.829,0,0.016670763
10861828307,5167457376,10.32629957,130.17612,2169.602,4523.771328,1.348127764
1119142454,2020267440,115.1325399,31.81414526,530.234,12326.55464,0.329472031
1119142454,2020267407,0,11.04642,184.107,0,0.114398751
2020267440,2299662053,115.1325399,142.3045108,2371.734,55136.61657,1.473726727
1119143981,2299662431,165.8217194,30.31105153,505.177,16914.59799,0.313902338
2299662431,2291888107,165.8217194,51.29983035,854.985,28627.05064,0.531262884
1490607093,4604771439,0,5.73726,95.621,0,0.059416116
1490607093,4046043503,29.64723939,126.9825018,2116.375,12669.30334,1.31505405
4604771439,4604787043,46.47031298,30.30174266,505.029,4738.793354,0.313810375
4046043503,27017780,29.64723939,189.9607828,3166.013,18952.77495,1.967268664
4046043503,10027856731,0,1.06098,17.683,0,0.010987703
10027569715,1881993547,143.4258032,213.1640585,3552.706,102887.5639,2.20754848
1654014088,742001112,10.32629957,81.78684002,1363.114,2842.187659,0.846999509
10027856725,4604771439,46.47031298,122.8880508,2048.134,19218.07221,1.272651072
10027856725,4046043503,0,1.91862,31.977,0,0.01986958
