,from,highway,lanes,length,maxspeed,oneway,osmid,to,geometry,capacity,edgeID
3664,5656215006,secondary,2.0,107.739,60,True,45409594,936853817,"LINESTRING (23.8232859 38.032919, 23.8225972 38.0335262, 23.8225881 38.0335341, 23.8225506 38.0335667, 23.8224664 38.0336416)",700,3642
3665,6915877610,secondary,2.0,10.965,60,True,374828536,6915877613,"LINESTRING (23.7452363 38.1196451, 23.7452557 38.119616, 23.7452916 38.1195992, 23.7453334 38.1195995)",700,3643
3666,6915877610,secondary,2.0,33.302,60,True,738552614,280851929,"LINESTRING (23.7452363 38.1196451, 23.7452207 38.1194845, 23.745236 38.1193466)",700,3644
3667,3786264787,secondary_link,2.0,45.019,60,True,653232614,6122124143,"LINESTRING (23.7429416 38.1008133, 23.7434435 38.1007243)",700,3645
3668,3809337571,primary,2.0,83.553,60,True,680752283,1828636517,"LINESTRING (23.6870099 37.9415399, 23.6866453 37.9417432, 23.6862257 37.9419666)",900,3646
3669,6374431746,primary,2.0,8.922,60,True,654041277,6374431745,"LINESTRING (23.6876191 37.9410778, 23.6877041 37.9410337)",900,3647
3670,3856466958,secondary,2.0,58.477000000000004,60,True,382447961,3856467557,"LINESTRING (23.7506325 37.9397527, 23.7506673 37.9397862, 23.7506925 37.9398246, 23.7507085 37.9398769, 23.7507108 37.9398986, 23.7507081 37.939931, 23.7506989 37.9399626, 23.7506837 37.9399927, 23.7506536 37.9400302, 23.7506141 37.9400619, 23.750567 37.9400862, 23.7505144 37.9401021, 23.7504587 37.9401088, 23.7504025 37.9401061)",700,3648
3671,3856467557,secondary,2.0,707.9299999999998,60,True,31792001,5375197673,"LINESTRING (23.7504025 37.9401061, 23.7503689 37.9401661, 23.7502679 37.940346, 23.750225 37.9404175, 23.7501484 37.9405347, 23.7499307 37.9409335, 23.7498858 37.94101, 23.7498531 37.9410686, 23.7497559 37.941236, 23.7496063 37.9414893, 23.7495615 37.941567, 23.7493011 37.9420604, 23.7492609 37.9421366, 23.7492344 37.9421868, 23.7492158 37.9422228, 23.7490886 37.9425051, 23.7490871 37.9425085, 23.7490841 37.9425151, 23.7489935 37.9427165, 23.7489899 37.9427246, 23.7488471 37.9430415, 23.748767 37.9432155, 23.7486346 37.9435162, 23.7486094 37.9435734, 23.7484576 37.9438921, 23.7484208 37.9439664, 23.7484032 37.944002, 23.7483356 37.9441383, 23.7483141 37.9441839, 23.7482977 37.9442186, 23.7480631 37.9447165, 23.7479196 37.9450375, 23.7477511 37.9453891, 23.7476673 37.9455633, 23.7476648 37.9455685, 23.7476384 37.9456234, 23.7475538 37.9457994, 23.7474436 37.9460255)",700,3649
3672,3856467557,secondary,2.0,11.202,60,True,382447961,3856467059,"LINESTRING (23.7504025 37.9401061, 23.7503616 37.9400979, 23.7503228 37.9400846, 23.7502838 37.9400699)",700,3650
3673,3856467058,secondary,2.0,242.68200000000002,60,True,173055935,1856349769,"LINESTRING (23.7504556 37.9396926, 23.7504899 37.9396304, 23.7506541 37.9393323, 23.7508322 37.9390087, 23.7509626 37.938792, 23.7510844 37.9386034, 23.7513955 37.9380785, 23.7514772 37.9379406, 23.7515479 37.937788, 23.7515992 37.9377062)",700,3651
3674,3856467058,secondary,2.0,17.263999999999996,60,True,382447961,3856466958,"LINESTRING (23.7504556 37.9396926, 23.7505044 37.9396975, 23.7505512 37.9397095, 23.7505944 37.9397281, 23.7506325 37.9397527)",700,3652
3675,3879097167,trunk,2.0,104.741,80,True,384601866,602099804,"LINESTRING (23.5970125 38.0303726, 23.5969041 38.0305382, 23.596738 38.0308104, 23.5966018 38.0310455, 23.5965015 38.031224)",1200,3653
3676,3889445507,primary_link,2.0,20.320999999999998,60,True,385608502,1669647803,"LINESTRING (23.6208437 37.9473352, 23.620903 37.9473589, 23.6209377 37.9473774, 23.6209715 37.9474088, 23.6209941 37.947462)",900,3654
3677,3895874574,secondary_link,2.0,26.684,60,True,386264499,3895874566,"LINESTRING (23.7406406 37.9098908, 23.7406879 37.9099077, 23.7407323 37.9099009, 23.7407714 37.9098829, 23.7407991 37.909858, 23.7408158 37.9098276, 23.740838 37.9097688)",700,3655
3678,3895874574,secondary,2.0,374.272,70,True,"[485587612, 575113223]",1853124898,"LINESTRING (23.7406406 37.9098908, 23.7408734 37.9099874, 23.7409297 37.9100108, 23.7425282 37.9106902, 23.7426455 37.9107401, 23.7441227 37.9113679, 23.744398 37.9114849)",700,3656
3679,3916865328,secondary,2.0,84.608,50,True,"[388493809, 388493813]",3916865345,"LINESTRING (23.7514626 38.0397729, 23.7514413 38.0398759, 23.7513918 38.0400799, 23.7513488 38.0403987, 23.7513395 38.0404663, 23.751335 38.040498, 23.7513334 38.0405132, 23.7513326 38.0405263)",700,3657
3680,3916865345,secondary,2.0,30.537,50,True,32225295,8320588879,"LINESTRING (23.7513326 38.0405263, 23.7514545 38.040438, 23.7515745 38.0403291)",700,3658
3681,3916865345,secondary,2.0,6.616,50,True,388493811,361374918,"LINESTRING (23.7513326 38.0405263, 23.7513326 38.0405456, 23.7513346 38.0405652, 23.7513386 38.0405855)",700,3659
3682,8320588879,secondary,2.0,146.83800000000002,50,True,32225295,361374909,"LINESTRING (23.7515745 38.0403291, 23.7516106 38.0402963, 23.7517387 38.0401597, 23.7517914 38.0400944, 23.7523341 38.0394862, 23.7524287 38.0394076, 23.7525102 38.0393513, 23.7526095 38.0393012)",700,3660
3683,8320588879,secondary_link,2.0,81.601,50,True,388493795,3916865328,"LINESTRING (23.7515745 38.0403291, 23.7515771 38.0402493, 23.7515833 38.0402096, 23.7515964 38.0401734, 23.7516203 38.0401354, 23.7516644 38.0400746, 23.7516958 38.0400234, 23.7517205 38.0399706, 23.7517246 38.0399237, 23.7517169 38.0398881, 23.7517007 38.0398558, 23.7516822 38.0398292, 23.7516523 38.0397952, 23.751618 38.0397711, 23.7515909 38.0397641, 23.7515519 38.0397607, 23.7515034 38.0397638, 23.7514626 38.0397729)",700,3661
3684,5664734927,secondary,2.0,529.141,40,True,"[895153437, 895153436, 1087943741, 895153438]",9968058298,"LINESTRING (23.7447354 38.0385657, 23.7445063 38.038335, 23.7444815 38.0383122, 23.7443213 38.0381492, 23.7443038 38.038135, 23.7442511 38.0380772, 23.7440664 38.0378766, 23.7439083 38.0377191, 23.7438031 38.0376272, 23.7434433 38.0373054, 23.7433187 38.0372001, 23.7416453 38.0360271, 23.7415959 38.0360032, 23.7415569 38.0359908, 23.7415253 38.035985, 23.7415028 38.0359835, 23.7414767 38.0359852, 23.7414273 38.0359937, 23.741359 38.0360085, 23.7412945 38.0360251, 23.7409906 38.036103, 23.7407567 38.0361631, 23.7402722 38.0362835, 23.740161 38.0363111)",700,3662
3685,3917096059,secondary_link,2.0,35.287000000000006,60,True,388517056,3917096063,"LINESTRING (23.7494801 38.0371819, 23.7493678 38.0371526, 23.7493012 38.0371474, 23.7492586 38.0371569, 23.7492119 38.0371771, 23.7491289 38.0372455)",700,3663
3686,3917096059,secondary,2.0,331.90500000000003,50,True,"[665208294, 665208295, 665208296, 575208021, 883108792]",359103335,"LINESTRING (23.7494801 38.0371819, 23.7493708 38.0370973, 23.7492933 38.0370374, 23.7492047 38.0369678, 23.7491377 38.0369169, 23.7488887 38.0367197, 23.7487575 38.0366276, 23.7484446 38.0363761, 23.7482595 38.0361884, 23.747912 38.0358108, 23.7476577 38.0355311, 23.7474558 38.0353156, 23.7472061 38.0350701, 23.7470555 38.0348996)",700,3664
3687,3967803907,primary,2.0,2112.6439999999993,70,True,"[677295265, 115615620, 393574666, 272488981, 272488982, 46945309, 46945310, 605082015]",1305739850,"LINESTRING (23.7750795 37.9563599, 23.7751062 37.9564798, 23.7751152 37.9566048, 23.7751175 37.9567396, 23.775105 37.956867, 23.7750748 37.9570049, 23.775035 37.9571389, 23.7749687 37.9572724, 23.7746211 37.9578951, 23.7745383 37.9580803, 23.7744731 37.9582335, 23.7744272 37.9584, 23.7743976 37.9585389, 23.7743884 37.9586915, 23.7743804 37.9588386, 23.7743917 37.9589923, 23.7744179 37.9591518, 23.7744591 37.959304, 23.7745103 37.9594507, 23.7745438 37.9595224, 23.7745977 37.9596378, 23.7746806 37.959794, 23.7747815 37.9599391, 23.7748717 37.9600582, 23.7749844 37.9601789, 23.7750996 37.9602852, 23.7752257 37.9603808, 23.7753654 37.9604609, 23.775565 37.9605635, 23.775741 37.9606426, 23.7759468 37.9607248, 23.777713 37.9614194, 23.777961 37.9615174, 23.7781489 37.9615946, 23.7782451 37.9616387, 23.778361 37.9616952, 23.778448 37.9617406, 23.7785239 37.9617898, 23.7785953 37.9618395, 23.7787272 37.9619392, 23.7788155 37.9620164, 23.7790523 37.9622341, 23.7795575 37.9626996, 23.7797544 37.9628601, 23.779907 37.9629495, 23.7800763 37.9630312, 23.7802477 37.9630971, 23.7804496 37.9631654, 23.7806751 37.9632311, 23.7808652 37.9632792, 23.7817646 37.963464, 23.7819163 37.9634977, 23.7820709 37.9635314, 23.7822152 37.963572, 23.782364 37.9636196, 23.7825433 37.9636865, 23.7826773 37.9637515, 23.7827864 37.9638083, 23.7829422 37.9638859, 23.7834219 37.9641853, 23.7838657 37.964456, 23.7840357 37.9645512, 23.7841666 37.9646191, 23.7843173 37.964687, 23.7844462 37.9647365, 23.7846019 37.9647909, 23.7847624 37.9648401, 23.7849216 37.9648772, 23.7850782 37.9649046, 23.785243 37.9649256, 23.7854033 37.9649347, 23.7855478 37.964935, 23.7868356 37.9648929, 23.7870326 37.9648872, 23.7871882 37.9648823, 23.7873578 37.9648895, 23.7875038 37.9649052, 23.7876583 37.9649242, 23.7878058 37.9649476, 23.7879524 37.9649781, 23.7880941 37.965015, 23.7882357 37.965059, 23.7883925 37.9651212, 23.788527 37.9651764, 23.7886586 37.965235, 23.7887842 37.9652965, 23.7889039 37.9653661, 23.7890247 37.9654444, 23.7892393 37.9656051, 23.7893404 37.9656909, 23.7894512 37.9657948, 23.7895405 37.9658928, 23.7896208 37.9659938, 23.7896994 37.9661032, 23.78977 37.9662147, 23.7898277 37.9663204, 23.7898898 37.9664441, 23.7899339 37.9665594, 23.7899665 37.9666655, 23.7899986 37.9667942, 23.7900271 37.9669136, 23.790141 37.9675116)",900,3665
3688,5465599728,primary_link,2.0,34.11,60,True,567969067,5465599732,"LINESTRING (23.769445 37.9530482, 23.7693589 37.953024, 23.7692596 37.9530093, 23.7691644 37.9530254, 23.7690724 37.9530547)",900,3666
3689,5465599728,primary,2.0,62.787,70,True,"[660331024, 567969066]",305186168,"LINESTRING (23.769445 37.9530482, 23.7693307 37.9529565, 23.7692736 37.9529076, 23.7692001 37.9528337, 23.7689921 37.9526121)",900,3667
