,osmid,y,x,street_cou,lon,lat,ref,highway,geometry
476,1952721666,45.4421962,-73.8151304,4,-73.8151304,45.4421962,,,POINT (-73.8151304 45.4421962)
477,96071709,45.4411059,-73.8214995,4,-73.8214995,45.4411059,49,motorway_junction,POINT (-73.8214995 45.4411059)
478,96071699,45.4426577,-73.8164247,3,-73.8164247,45.4426577,,,POINT (-73.8164247 45.4426577)
479,97876387,45.4705496,-73.5908265,4,-73.5908265,45.4705496,,,POINT (-73.59082650000001 45.4705496)
480,224644961,45.4697458,-73.5890754,2,-73.5890754,45.4697458,,,POINT (-73.5890754 45.4697458)
481,8645540464,45.4715551,-73.5931736,3,-73.5931736,45.4715551,,crossing,POINT (-73.5931736 45.4715551)
482,6160129071,45.4633397,-73.6071142,4,-73.6071142,45.4633397,,,POINT (-73.6071142 45.4633397)
483,3560183207,45.4766858,-73.5853633,2,-73.5853633,45.4766858,,,POINT (-73.5853633 45.4766858)
484,98356296,45.4966173,-73.6744128,3,-73.6744128,45.4966173,,,POINT (-73.6744128 45.4966173)
485,98422985,45.4977784,-73.6731163,3,-73.6731163,45.4977784,,,POINT (-73.6731163 45.4977784)
486,1523550335,45.4998783,-73.6702068,3,-73.6702068,45.4998783,,,POINT (-73.6702068 45.4998783)
487,98356322,45.4693659,-73.7132914,3,-73.7132914,45.4693659,4,motorway_junction,POINT (-73.7132914 45.4693659)
488,245488217,45.4709275,-73.7109964,3,-73.7109964,45.4709275,,,POINT (-73.7109964 45.4709275)
489,245488213,45.4753657,-73.7053104,3,-73.7053104,45.4753657,,,POINT (-73.7053104 45.4753657)
490,98356331,45.4612594,-73.7242906,3,-73.7242906,45.4612594,3,motorway_junction,POINT (-73.7242906 45.4612594)
491,606287440,45.462168,-73.7227452,3,-73.7227452,45.462168,,,POINT (-73.72274520000001 45.462168)
492,8762872433,45.4648717,-73.7192995,3,-73.7192995,45.4648717,,,POINT (-73.71929950000001 45.4648717)
493,98361287,45.5011264,-73.6686123,3,-73.6686123,45.5011264,,,POINT (-73.66861230000001 45.5011264)
494,227825443,45.5007856,-73.6632111,3,-73.6632111,45.5007856,,,POINT (-73.6632111 45.5007856)
495,1836996226,45.5047625,-73.6644427,3,-73.6644427,45.5047625,,,POINT (-73.6644427 45.5047625)
496,98367588,45.4944623,-73.6787481,4,-73.6787481,45.4944623,,,POINT (-73.67874810000001 45.4944623)
497,227848865,45.4929393,-73.6795799,4,-73.6795799,45.4929393,,,POINT (-73.67957989999999 45.4929393)
498,98367592,45.4947694,-73.67692,3,-73.67692,45.4947694,,,POINT (-73.67692 45.4947694)
499,98372194,45.4712703,-73.7109354,3,-73.7109354,45.4712703,2,motorway_junction,POINT (-73.7109354 45.4712703)
500,245488216,45.47008,-73.7127769,3,-73.7127769,45.47008,,,POINT (-73.71277689999999 45.47008)
501,245489123,45.4657626,-73.7182688,3,-73.7182688,45.4657626,,,POINT (-73.7182688 45.4657626)
502,98373690,45.4577058,-73.7298581,3,-73.7298581,45.4577058,1-E,motorway_junction,POINT (-73.7298581 45.4577058)
503,98375602,45.4557932,-73.7333248,3,-73.7333248,45.4557932,,,POINT (-73.73332480000001 45.4557932)
504,1212327083,45.4555167,-73.7335302,3,-73.7335302,45.4555167,1-O,motorway_junction,POINT (-73.7335302 45.4555167)
505,98375612,45.4522546,-73.740811,3,-73.740811,45.4522546,,,POINT (-73.74081099999999 45.4522546)
506,7154814141,45.4525339,-73.7418989,4,-73.7418989,45.4525339,,,POINT (-73.7418989 45.4525339)
507,606287162,45.4526101,-73.7417929,3,-73.7417929,45.4526101,,,POINT (-73.74179289999999 45.4526101)
508,98386614,45.4497659,-73.7614035,3,-73.7614035,45.4497659,,,POINT (-73.7614035 45.4497659)
509,98921975,45.4501135,-73.7802086,3,-73.7802086,45.4501135,,,POINT (-73.78020859999999 45.4501135)
510,98387517,45.4501044,-73.7436021,3,-73.7436021,45.4501044,,,POINT (-73.7436021 45.4501044)
511,3667791519,45.4500835,-73.7435252,3,-73.7435252,45.4500835,,,POINT (-73.74352519999999 45.4500835)
512,98396847,45.4489202,-73.7642479,3,-73.7642479,45.4489202,56,motorway_junction,POINT (-73.7642479 45.4489202)
513,4131759835,45.4485094,-73.7532368,3,-73.7532368,45.4485094,,,POINT (-73.7532368 45.4485094)
514,4666025747,45.4476256,-73.7461044,3,-73.7461044,45.4476256,,,POINT (-73.74610439999999 45.4476256)
515,98401684,45.4491722,-73.7839167,3,-73.7839167,45.4491722,,,POINT (-73.78391670000001 45.4491722)
516,1212602955,45.4488984,-73.7817305,3,-73.7817305,45.4488984,,,POINT (-73.78173049999999 45.4488984)
517,98401701,45.4503506,-73.7820515,4,-73.7820515,45.4503506,,,POINT (-73.78205149999999 45.4503506)
518,106479362,45.4490064,-73.7768463,3,-73.7768463,45.4490064,,,POINT (-73.7768463 45.4490064)
519,98403164,45.4490725,-73.7722185,4,-73.7722185,45.4490725,54,motorway_junction,POINT (-73.77221849999999 45.4490725)
520,106482038,45.4488222,-73.7677489,3,-73.7677489,45.4488222,,,POINT (-73.7677489 45.4488222)
521,1212603010,45.4502715,-73.7807219,4,-73.7807219,45.4502715,,,POINT (-73.7807219 45.4502715)
522,98413627,45.4810524,-73.7940139,3,-73.7940139,45.4810524,,,POINT (-73.7940139 45.4810524)
523,98450706,45.479638,-73.7926202,3,-73.7926202,45.479638,,,POINT (-73.7926202 45.479638)
524,98413628,45.4819998,-73.794951,3,-73.794951,45.4819998,,,POINT (-73.794951 45.4819998)
525,98415241,45.4785067,-73.7971371,4,-73.7971371,45.4785067,,,POINT (-73.7971371 45.4785067)
526,98413645,45.5068006,-73.8198328,5,-73.8198328,45.5068006,,traffic_signals,POINT (-73.8198328 45.5068006)
527,605477315,45.5067833,-73.8200244,4,-73.8200244,45.5067833,,traffic_signals,POINT (-73.82002439999999 45.5067833)
528,581075353,45.5091137,-73.8188045,3,-73.8188045,45.5091137,,,POINT (-73.8188045 45.5091137)
529,98413649,45.5119716,-73.8241976,1,-73.8241976,45.5119716,,stop,POINT (-73.82419760000001 45.5119716)
530,98415828,45.480097,-73.7937087,3,-73.7937087,45.480097,,,POINT (-73.7937087 45.480097)
