,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,geometry,capacity
1290,308475643,secondary,3.0,120.71,50,青山道 Castle Peak Road,1,648622765,1645492995,"LINESTRING (114.1579941 22.3371662, 114.1588926 22.3364678)",700
1291,308475646,secondary,3.0,64.656,50,東京街 Tonkin Street,1,151705904,308475660,"LINESTRING (114.1590241 22.3363741, 114.1586231 22.3359263)",700
1292,308475646,secondary,3.0,118.643,50,青山道 Castle Peak Road,1,"[494493979, 86113220]",308475649,"LINESTRING (114.1590241 22.3363741, 114.1593117 22.3361546, 114.1599025 22.3356826)",700
1293,1645492995,secondary,3.0,17.073,50,青山道 Castle Peak Road,1,484578932,308475646,"LINESTRING (114.1588926 22.3364678, 114.1590241 22.3363741)",700
1294,308475649,secondary,3.0,239.199,50,青山道 Castle Peak Road,1,"[103428520, 494493979]",308475655,"LINESTRING (114.1599025 22.3356826, 114.1607796 22.3350108, 114.161683 22.3342988)",700
1295,308475663,residential,2.0,65.382,50,東沙島街 Pratas Street,1,151355602,308475649,"LINESTRING (114.1595025 22.3352256, 114.1599025 22.3356826)",400
1296,1641766630,residential,2.0,64.916,50,東沙島街 Pratas Street,1,103426520,308475649,"LINESTRING (114.1603081 22.3361299, 114.1599025 22.3356826)",400
1297,308475655,residential,2.0,64.042,50,九江街 Kiu Kiang Street,1,30151446,1641766552,"LINESTRING (114.161683 22.3342988, 114.162066 22.3347529)",400
1298,308475655,residential,2.0,63.144,50,九江街 Kiu Kiang Street,1,103239092,308475669,"LINESTRING (114.161683 22.3342988, 114.161292 22.333861)",400
1299,308475655,secondary,4.0,105.01899999999999,50,青山道 Castle Peak Road,1,"[494493980, 761430518, 761430519]",1193696752,"LINESTRING (114.161683 22.3342988, 114.1620439 22.3340206, 114.1622062 22.3338954, 114.1622952 22.333827, 114.1624667 22.3336934)",700
1300,308475657,secondary,3.0,18.822,50,元州街 Un Chau Street,1,648622766,4864808906,"LINESTRING (114.1549269 22.3387595, 114.1547878 22.3388695)",700
1301,308475657,secondary,1.0,189.45999999999998,50,興華街 Hing Wah Street,1,"[494740409, 103442951]",1191992814,"LINESTRING (114.1549269 22.3387595, 114.1545137 22.3382946, 114.1540801 22.337819, 114.153918 22.3376412, 114.1538901 22.3376104, 114.1537457 22.3374521)",700
1302,1194385484,secondary,3.0,90.642,50,元州街 Un Chau Street,1,494493978,308475657,"LINESTRING (114.155608 22.3382422, 114.1549269 22.3387595)",700
1303,308475660,secondary,3.0,65.246,50,東京街 Tonkin Street,1,103434381,1645492869,"LINESTRING (114.1586231 22.3359263, 114.15821 22.335481)",700
1304,308475660,secondary,3.0,17.312,50,元州街 Un Chau Street,1,494493978,1645492924,"LINESTRING (114.1586231 22.3359263, 114.1584917 22.3360236)",700
1305,308475663,secondary,3.0,119.38,50,元州街 Un Chau Street,1,494493978,308475660,"LINESTRING (114.1595025 22.3352256, 114.1586231 22.3359263)",700
1306,308475666,secondary,3.0,118.356,50,元州街 Un Chau Street,1,494493978,308475663,"LINESTRING (114.1603885 22.3345464, 114.1597938 22.335001, 114.1597399 22.3350425, 114.1595025 22.3352256)",700
1307,999331531,residential,2.0,63.238,50,東沙島街 Pratas Street,1,151355602,308475663,"LINESTRING (114.1591246 22.3347789, 114.1591568 22.3348384, 114.1594099 22.3351226, 114.1595025 22.3352256)",400
1308,5117686453,residential,2.0,64.527,50,營盤街 Camp Street,0,"[103411704, 526217477]",308475666,"LINESTRING (114.1599937 22.3340954, 114.1601926 22.3343233, 114.1603885 22.3345464)",400
1309,308475669,secondary,3.0,120.184,50,元州街 Un Chau Street,1,494493978,308475666,"LINESTRING (114.161292 22.333861, 114.1603885 22.3345464)",700
1310,308475669,residential,2.0,64.695,50,九江街 Kiu Kiang Street,1,494493977,660864281,"LINESTRING (114.161292 22.333861, 114.160885 22.3334174)",400
1311,1193696741,secondary,3.0,118.637,50,元州街 Un Chau Street,1,103372423,308475669,"LINESTRING (114.1621765 22.3331762, 114.161292 22.333861)",700
1312,308475675,secondary,3.0,11.001,50,元州街 Un Chau Street,1,103372423,1193696741,"LINESTRING (114.1622577 22.3331118, 114.1621765 22.3331762)",700
1313,308475675,secondary,3.0,66.096,50,欽州街 Yen Chow Street,1,103411717,660864276,"LINESTRING (114.1622577 22.3331118, 114.1621786 22.3330296, 114.1618473 22.3326545)",700
1314,308475679,secondary,3.0,115.381,50,元州街 Un Chau Street,1,437031183,308475675,"LINESTRING (114.1631195 22.3324479, 114.162352 22.33303, 114.1622577 22.3331118)",700
1315,1193696756,secondary,2.0,35.907,50,欽州街 Yen Chow Street,1,494493981,308475675,"LINESTRING (114.1624361 22.3333783, 114.1624251 22.333299, 114.1623292 22.3331892, 114.1622577 22.3331118)",700
1316,308475681,secondary,3.0,115.371,50,元州街 Un Chau Street,1,437031183,308475679,"LINESTRING (114.1639716 22.3317734, 114.1635886 22.3320885, 114.1631195 22.3324479)",700
1317,1641766523,residential,2.0,60.349,50,桂林街 Kweilin Street,1,103372430,308475679,"LINESTRING (114.1634919 22.3328673, 114.1631195 22.3324479)",400
1318,308475681,residential,2.0,64.5,50,北河街 Pei Ho Street,1,85988270,420027780,"LINESTRING (114.1639716 22.3317734, 114.1635771 22.3313225)",400
1319,308475681,residential,2.0,57.084,50,北河街 Pei Ho Street,1,100970013,1166348471,"LINESTRING (114.1639716 22.3317734, 114.1640264 22.3317979, 114.1643214 22.3321159, 114.1643475 22.3321453)",400
1320,1641766448,secondary,3.0,118.59,50,元州街 Un Chau Street,1,437031183,308475681,"LINESTRING (114.164864 22.3310981, 114.1639716 22.3317734)",700
1321,308715436,residential,2.0,55.418,50,興和街 Hing Wo Street,1,51801223,1683192176,"LINESTRING (114.1483051 22.2500414, 114.1479934 22.249635)",400
