,osmid,y,x,street_cou,lon,lat,highway,ref,geometry
4848,299169192,48.976078,2.2727533,3,2.2727533,48.976078,,,POINT (2.2727533 48.976078)
4849,4011656240,48.9772607,2.2714047,3,2.2714047,48.9772607,,,POINT (2.2714047 48.9772607)
4850,299169381,48.9739902,2.2740641,3,2.2740641,48.9739902,,,POINT (2.2740641 48.9739902)
4851,299169318,48.9740409,2.2742059,3,2.2742059,48.9740409,,,POINT (2.2742059 48.9740409)
4852,4011660630,48.9737939,2.274325,3,2.274325,48.9737939,,,POINT (2.274325 48.9737939)
4853,299295215,48.9815893,2.443905,3,2.443905,48.9815893,,,POINT (2.443905 48.9815893)
4854,4207221259,48.9805543,2.4474766,3,2.4474766,48.9805543,,,POINT (2.4474766 48.9805543)
4855,299295362,48.9817071,2.4439871,3,2.4439871,48.9817071,,,POINT (2.4439871 48.9817071)
4856,299295727,48.9774041,2.4564093,3,2.4564093,48.9774041,,,POINT (2.4564093 48.9774041)
4857,5337856739,48.9771988,2.4565067,3,2.4565067,48.9771988,,,POINT (2.4565067 48.9771988)
4858,773230165,48.9788056,2.4525403,3,2.4525403,48.9788056,,,POINT (2.4525403 48.9788056)
4859,4777500394,48.9764444,2.4229168,2,2.4229168,48.9764444,,,POINT (2.4229168 48.9764444)
4860,299478651,48.9860869,2.2965404,3,2.2965404,48.9860869,,,POINT (2.2965404 48.9860869)
4861,299478652,48.9860002,2.2966984,3,2.2966984,48.9860002,,,POINT (2.2966984 48.9860002)
4862,2149744668,48.9786581,2.2916276,3,2.2916276,48.9786581,,,POINT (2.2916276 48.9786581)
4863,299478653,48.9860383,2.296873,3,2.296873,48.9860383,,,POINT (2.296873 48.9860383)
4864,299574866,48.7839061,2.4953402,2,2.4953402,48.7839061,,,POINT (2.4953402 48.7839061)
4865,431523676,48.7808116,2.4936861,2,2.4936861,48.7808116,,,POINT (2.4936861 48.7808116)
4866,319283518,48.7976911,2.5025312,3,2.5025312,48.7976911,,,POINT (2.5025312 48.7976911)
4867,5830071472,48.7994495,2.4528519,4,2.4528519,48.7994495,,,POINT (2.4528519 48.7994495)
4868,347001657,48.7995171,2.4529316,3,2.4529316,48.7995171,,,POINT (2.4529316 48.7995171)
4869,299831557,48.8033741,2.4131167,2,2.4131167,48.8033741,,,POINT (2.4131167 48.8033741)
4870,8245998016,48.8037983,2.4125722,2,2.4125722,48.8037983,,,POINT (2.4125722 48.8037983)
4871,8245998012,48.8026904,2.4142025,2,2.4142025,48.8026904,,,POINT (2.4142025 48.8026904)
4872,299831594,48.8025795,2.4144245,2,2.4144245,48.8025795,,,POINT (2.4144245 48.8025795)
4873,299831622,48.8020607,2.415463,2,2.415463,48.8020607,,,POINT (2.415463 48.8020607)
4874,299831596,48.8044138,2.4118608,2,2.4118608,48.8044138,,,POINT (2.4118608 48.8044138)
4875,8246033919,48.8045698,2.4116891,2,2.4116891,48.8045698,,,POINT (2.4116891 48.8045698)
4876,2928963332,48.8017715,2.4160389,2,2.4160389,48.8017715,,,POINT (2.4160389 48.8017715)
