,osmid,y,x,street_cou,lon,lat,highway,ref,geometry
1652,2355308062,51.4019143,-0.1943739,4,-0.1943739,51.4019143,,,POINT (-0.1943739 51.4019143)
1653,130245535,51.3995253,-0.187684,3,-0.187684,51.3995253,,,POINT (-0.187684 51.3995253)
1654,132078428,51.4190528,-0.1772578,2,-0.1772578,51.4190528,crossing,,POINT (-0.1772578 51.4190528)
1655,7776618963,51.4188885,-0.1774335,2,-0.1774335,51.4188885,,,POINT (-0.1774335 51.4188885)
1656,140548392,51.3124381,-0.3276833,3,-0.3276833,51.3124381,,,POINT (-0.3276833 51.3124381)
1657,206224677,51.2582493,-0.2023506,3,-0.2023506,51.2582493,motorway_junction,8,POINT (-0.2023506 51.2582493)
1658,140581099,51.2855555,-0.2288342,4,-0.2288342,51.2855555,,,POINT (-0.2288342 51.2855555)
1659,241607860,51.2867352,-0.2368036,3,-0.2368036,51.2867352,,,POINT (-0.2368036 51.2867352)
1660,3749654783,51.2866418,-0.2218082,3,-0.2218082,51.2866418,,,POINT (-0.2218082 51.2866418)
1661,469261500,51.2705084,-0.2486007,3,-0.2486007,51.2705084,,,POINT (-0.2486007 51.2705084)
1662,140583236,51.2676371,-0.2522251,2,-0.2522251,51.2676371,,,POINT (-0.2522251 51.2676371)
1663,140583240,51.2677871,-0.2520552,2,-0.2520552,51.2677871,,,POINT (-0.2520552 51.2677871)
1664,140585337,51.263585,-0.2616695,3,-0.2616695,51.263585,,,POINT (-0.2616695 51.263585)
1665,1687834921,51.2632648,-0.2623378,3,-0.2623378,51.2632648,,,POINT (-0.2623378 51.2632648)
1666,146369529,51.2864157,-0.3121066,3,-0.3121066,51.2864157,,,POINT (-0.3121066 51.2864157)
1667,146369650,51.2865738,-0.3116818,3,-0.3116818,51.2865738,,,POINT (-0.3116818 51.2865738)
1668,147836196,51.2666774,-0.5354121,3,-0.5354121,51.2666774,motorway_junction,,POINT (-0.5354120999999999 51.2666774)
1669,151000288,51.4352519,-0.5365452,3,-0.5365452,51.4352519,,,POINT (-0.5365452000000001 51.4352519)
1670,1475145504,51.4357065,-0.5374228,3,-0.5374228,51.4357065,,,POINT (-0.5374228 51.4357065)
1671,1952799464,51.4009104,-0.1958164,3,-0.1958164,51.4009104,,,POINT (-0.1958164 51.4009104)
1672,3956271109,51.4076043,-0.192272,3,-0.192272,51.4076043,,,POINT (-0.192272 51.4076043)
1673,170607290,51.2697856,-0.1361581,3,-0.1361581,51.2697856,,,POINT (-0.1361581 51.2697856)
1674,2010526978,51.4802209,-0.4127013,3,-0.4127013,51.4802209,,,POINT (-0.4127013 51.4802209)
1675,179009007,51.4953197,-0.4544277,3,-0.4544277,51.4953197,,,POINT (-0.4544277 51.4953197)
1676,179011465,51.4941279,-0.453359,3,-0.453359,51.4941279,,,POINT (-0.453359 51.4941279)
1677,1451130528,51.4952638,-0.4525625,4,-0.4525625,51.4952638,,,POINT (-0.4525625 51.4952638)
1678,21258949,51.4820074,-0.4524875,1,-0.4524875,51.4820074,motorway_junction,4A,POINT (-0.4524875 51.4820074)
1679,179025620,51.4984864,-0.45281,3,-0.45281,51.4984864,,,POINT (-0.45281 51.4984864)
1680,179025972,51.497987,-0.4525029,3,-0.4525029,51.497987,,,POINT (-0.4525029 51.497987)
1681,1451074211,51.4974609,-0.4534205,3,-0.4534205,51.4974609,,,POINT (-0.4534205 51.4974609)
1682,8228650680,51.4934176,-0.2451235,3,-0.2451235,51.4934176,,,POINT (-0.2451235 51.4934176)
1683,1639045045,51.2641477,-0.1821405,3,-0.1821405,51.2641477,,,POINT (-0.1821405 51.2641477)
1684,191951561,51.3096513,-0.2413726,3,-0.2413726,51.3096513,,,POINT (-0.2413726 51.3096513)
1685,251912343,51.3125267,-0.2137562,5,-0.2137562,51.3125267,traffic_signals,,POINT (-0.2137562 51.3125267)
1686,191950943,51.309693,-0.2419351,3,-0.2419351,51.309693,,,POINT (-0.2419351 51.309693)
1687,191950946,51.3098779,-0.2421359,3,-0.2421359,51.3098779,,,POINT (-0.2421359 51.3098779)
1688,191950949,51.3101369,-0.2426375,3,-0.2426375,51.3101369,,,POINT (-0.2426375 51.3101369)
1689,191951558,51.3099923,-0.2419106,3,-0.2419106,51.3099923,,,POINT (-0.2419106 51.3099923)
1690,300852997,51.3099352,-0.2438507,3,-0.2438507,51.3099352,,,POINT (-0.2438507 51.3099352)
