,osmid,y,x,highway,street_cou,lon,lat,ref,geometry
3697,683894679,-34.4900907,-58.6239021,traffic_signals,3,-58.6239021,-34.4900907,,POINT (-58.6239021 -34.4900907)
3698,2078629488,-34.4877213,-58.6194225,traffic_signals,4,-58.6194225,-34.4877213,,POINT (-58.6194225 -34.4877213)
3699,1959687935,-34.4980326,-58.6976457,,3,-58.6976457,-34.4980326,,POINT (-58.6976457 -34.4980326)
3700,684326310,-34.4972101,-58.5948066,,1,-58.5948066,-34.4972101,,POINT (-58.5948066 -34.4972101)
3701,1408770537,-34.5145967,-58.5907086,milestone,3,-58.5907086,-34.5145967,km 3,POINT (-58.5907086 -34.5145967)
3702,684326360,-34.4939497,-58.5950362,,3,-58.5950362,-34.4939497,,POINT (-58.5950362 -34.4939497)
3703,684326363,-34.4925013,-58.5955488,,3,-58.5955488,-34.4925013,,POINT (-58.5955488 -34.4925013)
3704,684348082,-34.4898215,-58.5962258,,3,-58.5962258,-34.4898215,,POINT (-58.5962258 -34.4898215)
3705,684348088,-34.48819,-58.5958571,,3,-58.5958571,-34.48819,,POINT (-58.5958571 -34.48819)
3706,684348097,-34.4881303,-58.5943286,,1,-58.5943286,-34.4881303,,POINT (-58.5943286 -34.4881303)
3707,684348090,-34.4879854,-58.5950359,,3,-58.5950359,-34.4879854,,POINT (-58.5950359 -34.4879854)
3708,684348102,-34.4886364,-58.5914817,,1,-58.5914817,-34.4886364,,POINT (-58.5914817 -34.4886364)
3709,2132413924,-34.4881594,-58.5909999,,3,-58.5909999,-34.4881594,,POINT (-58.5909999 -34.4881594)
3710,684440912,-34.4754171,-58.5749891,traffic_signals,1,-58.5749891,-34.4754171,,POINT (-58.5749891 -34.4754171)
3711,6167312779,-34.4720052,-58.5678686,,3,-58.5678686,-34.4720052,,POINT (-58.5678686 -34.4720052)
3712,2768680714,-34.4755571,-58.5748835,traffic_signals,1,-58.5748835,-34.4755571,,POINT (-58.5748835 -34.4755571)
3713,1659740172,-34.460512,-58.6348152,,4,-58.6348152,-34.460512,,POINT (-58.6348152 -34.460512)
3714,685605692,-34.6316816,-58.7470076,,3,-58.7470076,-34.6316816,,POINT (-58.7470076 -34.6316816)
