gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,ref,highway,nodeID,geometry,lanecapacity
6,4,None,None,False,5893.093,78,340403055,22.2960074,113.9273728,3,113.9273728,22.2960074,,,4742,POINT (113.9273728 22.2960074),3600.0
6,4,None,None,False,5893.093,78,733586496,22.2941825,113.9209073,3,113.9209073,22.2941825,,,4734,POINT (113.9209073 22.2941825),3600.0
6,5,0,0,False,7942.387,80,232076849,22.2969374,113.9359488,3,113.9359488,22.2969374,,,4217,POINT (113.9359488 22.2969374),20000.0
6,5,0,0,False,7942.387,80,421416939,22.2895306,113.9423028,3,113.9423028,22.2895306,,,4834,POINT (113.9423028 22.2895306),4200.0
6,5,0,0,False,7942.387,80,340404666,22.2965947,113.9331147,3,113.9331147,22.2965947,,,4750,POINT (113.9331147 22.2965947),4200.0
6,5,0,0,False,7942.387,80,288375233,22.2921386,113.9390492,3,113.9390492,22.2921386,,,4520,POINT (113.9390492 22.2921386),6800.0
6,5,0,0,False,7942.387,80,340409051,22.2888851,113.9474726,3,113.9474726,22.2888851,,,4755,POINT (113.9474726 22.2888851),5400.0
6,6,None,None,False,1413.9979999999996,82,1813780670,22.2907633,113.9510841,3,113.9510841,22.2907633,6B,motorway_junction,5282,POINT (113.9510841 22.2907633),14000.0
6,6,None,None,False,1413.9979999999996,82,288375522,22.2946443,113.9521674,3,113.9521674,22.2946443,,,4531,POINT (113.9521674 22.2946443),3800.0
6,6,None,None,False,1413.9979999999996,82,4772154449,22.2973703,113.9620725,3,113.9620725,22.2973703,,,4221,POINT (113.9620725 22.2973703),12000.0
6,18,0,0,False,16.912,87,356559137,22.2897092,114.1423477,3,114.1423477,22.2897092,1B;1A,motorway_junction,3248,POINT (114.1423477 22.2897092),20000.0
6,18,0,0,False,16.912,87,253315544,22.2872596,114.1352116,3,114.1352116,22.2872596,,,4298,POINT (114.1352116 22.2872596),5000.0
6,18,0,0,False,16.912,87,356559053,22.2883523,114.1385229,3,114.1385229,22.2883523,,,4289,POINT (114.1385229 22.2883523),5000.0
6,18,0,0,False,16.912,87,4862273080,22.2879265,114.1408145,4,114.1408145,22.2879265,,,5402,POINT (114.1408145 22.2879265),6300.0
6,18,0,0,False,16.912,87,4862273094,22.2878361,114.1437713,4,114.1437713,22.2878361,,,4647,POINT (114.1437713 22.2878361),4900.0
6,19,0,0,False,86.65,89,1726097085,22.28657,114.15812,3,114.15812,22.28657,8,motorway_junction,2832,POINT (114.15812 22.28657),12000.0
6,19,0,0,False,86.65,89,1034004862,22.2884574,114.148434,3,114.148434,22.2884574,,,4310,POINT (114.148434 22.2884574),8100.0
6,19,0,0,False,86.65,89,286633620,22.2870124,114.1526931,3,114.1526931,22.2870124,,,4475,POINT (114.1526931 22.2870124),5000.0
6,19,0,0,False,86.65,89,6190548822,22.286634,114.1559355,3,114.1559355,22.286634,,,4381,POINT (114.1559355 22.286634),7600.0
6,19,0,0,False,86.65,89,1726097071,22.2869863,114.1504941,3,114.1504941,22.2869863,,,4462,POINT (114.1504941 22.2869863),4200.0
6,21,None,None,False,1317.817,92,3439430895,22.2882916,114.1899046,3,114.1899046,22.2882916,,,2918,POINT (114.1899046 22.2882916),14000.0
6,21,None,None,False,1317.817,92,276169638,22.2993971,114.1820984,3,114.1820984,22.2993971,,,270,POINT (114.1820984 22.2993971),6300.0
6,21,None,None,False,1317.817,92,1158360142,22.2956296,114.1755839,3,114.1755839,22.2956296,,,35,POINT (114.1755839 22.2956296),4200.0
6,21,None,None,False,1317.817,92,452737038,22.2997894,114.1800526,3,114.1800526,22.2997894,,,1050,POINT (114.1800526 22.2997894),4200.0
6,21,None,None,False,1317.817,92,384387096,22.3006559,114.1851855,3,114.1851855,22.3006559,,,890,POINT (114.1851855 22.3006559),4500.0
