,Unnamed: 0,osmid,y,x,street_cou,lon,lat,ref,highway,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
9653,9653,4518691763,45.5254195,-73.6899735,3,-73.6899735,45.5254195,,,POINT (-73.68997349999999 45.5254195),4.0,3.0,1,0
9654,9654,471953349,45.5247664,-73.6873975,3,-73.6873975,45.5247664,,,POINT (-73.6873975 45.5247664),4.0,3.0,1,0
9655,9655,471957075,45.5256774,-73.6888319,3,-73.6888319,45.5256774,,,POINT (-73.6888319 45.5256774),4.0,3.0,1,0
9656,9656,246283557,45.526001,-73.68579659999999,3,-73.68579659999999,45.526001,,,POINT (-73.6857966 45.526001),4.0,3.0,1,1
9657,9657,6003604875,45.5259467,-73.68571159999999,3,-73.68571159999999,45.5259467,,,POINT (-73.6857116 45.5259467),4.0,3.0,1,1
9658,9658,5217188850,45.526464700000005,-73.68652320000001,1,-73.68652320000001,45.526464700000005,,,POINT (-73.6865232 45.5264647),4.0,3.0,1,1
9659,9659,246283561,45.52560689999999,-73.6905593,3,-73.6905593,45.52560689999999,,,POINT (-73.6905593 45.5256069),4.0,3.0,0,0
9660,9660,4518691760,45.5257959,-73.6905046,3,-73.6905046,45.5257959,,,POINT (-73.6905046 45.5257959),4.0,3.0,0,1
9661,9661,246283564,45.5243461,-73.6867359,3,-73.6867359,45.5243461,,,POINT (-73.6867359 45.5243461),4.0,3.0,1,0
9662,9662,246283565,45.525563,-73.68511020000001,3,-73.68511020000001,45.525563,,,POINT (-73.6851102 45.525563),4.0,3.0,1,0
9663,9663,246283567,45.5251047,-73.6843921,3,-73.6843921,45.5251047,,,POINT (-73.6843921 45.5251047),4.0,3.0,1,0
9664,9664,246283566,45.524692200000004,-73.6837457,4,-73.6837457,45.524692200000004,,,POINT (-73.6837457 45.5246922),4.0,3.0,1,0
9665,9665,246283569,45.5228065,-73.680791,4,-73.680791,45.5228065,,,POINT (-73.680791 45.5228065),4.0,3.0,1,0
9666,9666,246283571,45.5251375,-73.6831747,4,-73.6831747,45.5251375,,,POINT (-73.6831747 45.5251375),4.0,3.0,1,0
9667,9667,246285153,45.5232716,-73.6801953,3,-73.6801953,45.5232716,,,POINT (-73.68019529999999 45.5232716),4.0,3.0,1,0
9668,9668,246284677,45.524415600000005,-73.680548,3,-73.680548,45.524415600000005,,,POINT (-73.680548 45.5244156),4.0,3.0,1,0
9669,9669,246284673,45.527110799999996,-73.6838765,1,-73.6838765,45.527110799999996,,,POINT (-73.6838765 45.5271108),4.0,3.0,1,1
9670,9670,246283572,45.525647799999994,-73.68252059999999,4,-73.68252059999999,45.525647799999994,,,POINT (-73.6825206 45.5256478),4.0,3.0,1,0
9671,9671,246284679,45.5251061,-73.6816409,3,-73.6816409,45.5251061,,,POINT (-73.6816409 45.5251061),4.0,3.0,1,0
9672,9672,246284678,45.5256165,-73.6813489,3,-73.6813489,45.5256165,,,POINT (-73.6813489 45.5256165),4.0,3.0,1,0
9673,9673,246284680,45.52685,-73.6829525,1,-73.6829525,45.52685,,,POINT (-73.6829525 45.52685),4.0,3.0,1,1
9674,9674,246283579,45.516675799999994,-73.6792315,4,-73.6792315,45.516675799999994,,,POINT (-73.6792315 45.5166758),4.0,3.0,1,0
9675,9675,246285214,45.515398700000006,-73.6771944,3,-73.6771944,45.515398700000006,,,POINT (-73.6771944 45.5153987),4.0,3.0,1,0
9676,9676,246283580,45.5161747,-73.67984609999999,4,-73.67984609999999,45.5161747,,traffic_signals,POINT (-73.67984610000001 45.5161747),4.0,3.0,1,0
9677,9677,246283582,45.515432399999995,-73.68095129999999,3,-73.68095129999999,45.515432399999995,,,POINT (-73.6809513 45.5154324),4.0,3.0,1,0
9678,9678,472502196,45.5141234,-73.67882390000001,4,-73.67882390000001,45.5141234,,,POINT (-73.6788239 45.5141234),4.0,3.0,1,0
9679,9679,3705958573,45.5157453,-73.6804796,3,-73.6804796,45.5157453,,traffic_signals,POINT (-73.6804796 45.5157453),4.0,3.0,1,0
9680,9680,246283588,45.5126013,-73.6846797,3,-73.6846797,45.5126013,,,POINT (-73.6846797 45.5126013),4.0,3.0,1,0
