from,to,volume,EstimatedTT,TSTT:,579615.5725852246,length,CO2,lengthm
4604787043,611075703,70.03566842832555,89.09410036267994,,,1484.901,20998.71192059901,0.922674419271
4604787067,611075703,0.0,20.893739999999994,,,348.229,0.0,0.216379401959
4604787161,4604787168,0.0,2.16006,,,36.001,0.0,0.022369977370999997
4604787171,4604787170,0.0,1.21398,,,20.233,0.0,0.012572199443
4604787171,4604787161,0.0,1.5980399999999941,,,26.634,0.0,0.016549595214000002
4604787179,4604787201,87.0677806585482,65.57293095910944,,,1092.881,19213.490300355003,0.679084559851
4604787180,4604787171,0.0,26.39064,,,439.844,0.0,0.273306306124
4604787201,1490607093,87.0677806585482,53.47193786413746,,,891.198,15667.784624946155,0.553764592458
4605618144,1490607336,0.0,154.9374,,,2582.29,0.0,1.6045601195900001
4605618128,4605618146,0.0,2.59674,,,43.279,0.0,0.026892315509000002
4605618146,4605618129,0.0,1.1270399999999998,,,18.784,0.0,0.011671832864
4605618146,2923606780,0.0,10.950539999999993,,,182.509,0.0,0.113405799839
4605618129,4605618144,0.0,11.362739999999999,,,189.379,0.0,0.117674618609
4605618129,4605618128,0.0,1.40892,,,23.482,0.0,0.014591033821999999
4906760573,4906760574,0.0,0.939059999999994,,,15.651,0.0,0.009725077521
4906760574,3977933580,0.0,26.6598,,,444.33,0.0,0.27609377643
4906760574,10032129071,0.0,2.02182,,,33.697,0.0,0.020938338587
5479993983,5480002191,0.0,158.064,,,2634.4,0.0,1.6369397624000002
5479993983,5479993982,0.0,1.96488,,,32.748,0.0,0.020348657508
5479993982,5479993981,0.0,1.61484,,,26.914,0.0,0.016723579094
5479993982,4923102857,0.0,1.4974800000000001,,,24.958,0.0,0.015508177417999999
5480002191,5480002190,0.0,1.3533,,,22.555,0.0,0.014015022905
